GEO_ID,NAME,P8_004N
1,"Adams County, Colorado",17463
3,"Alamosa County, Colorado",251
5,"Arapahoe County, Colorado",70787
7,"Archuleta County, Colorado",41
9,"Baca County, Colorado",26
11,"Bent County, Colorado",256
13,"Boulder County, Colorado",3393
14,"Broomfield County, Colorado",989
15,"Chaffee County, Colorado",296
17,"Cheyenne County, Colorado",1
19,"Clear Creek County, Colorado",52
21,"Conejos County, Colorado",27
23,"Costilla County, Colorado",40
25,"Crowley County, Colorado",517
27,"Custer County, Colorado",11
29,"Delta County, Colorado",145
31,"Denver County, Colorado",64038
33,"Dolores County, Colorado",18
35,"Douglas County, Colorado",5160
37,"Eagle County, Colorado",340
39,"Elbert County, Colorado",123
41,"El Paso County, Colorado",43822
43,"Fremont County, Colorado",1848
45,"Garfield County, Colorado",335
47,"Gilpin County, Colorado",38
49,"Grand County, Colorado",64
51,"Gunnison County, Colorado",88
53,"Hinsdale County, Colorado",8
55,"Huerfano County, Colorado",65
57,"Jackson County, Colorado",0
59,"Jefferson County, Colorado",7356
61,"Kiowa County, Colorado",4
63,"Kit Carson County, Colorado",24
65,"Lake County, Colorado",38
67,"La Plata County, Colorado",205
69,"Larimer County, Colorado",3815
71,"Las Animas County, Colorado",211
73,"Lincoln County, Colorado",275
75,"Logan County, Colorado",765
77,"Mesa County, Colorado",1151
79,"Mineral County, Colorado",3
81,"Moffat County, Colorado",77
83,"Montezuma County, Colorado",80
85,"Montrose County, Colorado",181
87,"Morgan County, Colorado",975
89,"Otero County, Colorado",165
91,"Ouray County, Colorado",16
93,"Park County, Colorado",94
95,"Phillips County, Colorado",19
97,"Pitkin County, Colorado",106
99,"Prowers County, Colorado",109
101,"Pueblo County, Colorado",3642
103,"Rio Blanco County, Colorado",34
105,"Rio Grande County, Colorado",61
107,"Routt County, Colorado",156
109,"Saguache County, Colorado",20
111,"San Juan County, Colorado",3
113,"San Miguel County, Colorado",21
115,"Sedgwick County, Colorado",5
117,"Summit County, Colorado",247
119,"Teller County, Colorado",135
121,"Washington County, Colorado",32
123,"Weld County, Colorado",4539
125,"Yuma County, Colorado",22
